№ п/п,№ плавки,№ ручья,№ НЛЗ,"Ромбичность, мм",max,min,Δ
1,12002874,1,120028741105,4,151,150,1
2,12002874,2,120028741205,3,151,151,0
3,12002874,3,120028741305,2,151,150,1
4,12002874,4,120028741405,2,151,151,0
5,12002874,5,120028741505,4,151,151,0
6,12002874,6,120028741605,3,151,150,1
7,12002880,1,120028801105,1,151,149,2
8,12002880,2,120028801205,5,151,150,1
9,12002880,3,120028801305,6,150,150,0
10,12002880,4,120028801405,5,150,149,1
11,12002880,5,120028801505,2,151,151,0
12,12002880,6,120028801605,7,150,150,0
13,12002881,2,120028811205,2,151,150,1
14,12002881,3,120028811305,1,152,150,2
15,12002881,4,120028811405,2,150,150,0
16,12002881,5,120028811505,2,151,151,0
17,12002881,6,120028811605,3,150,150,0
18,12002882,2,120028821205,2,151,151,0
19,12002882,3,120028821305,7,150,150,0
20,12002882,4,120028821405,3,152,151,1
21,12002882,5,120028821505,3,150,150,0
22,12002882,6,120028821605,1,151,150,1
23,12002886,1,120028861105,2,150,150,0
24,12002886,2,120028861205,2,150,150,0
25,12002886,3,120028861305,5,151,150,1
26,12002886,4,120028861405,6,151,149,2
27,12002886,5,120028861505,2,152,150,2
28,12002886,6,120028861605,8,151,151,0
29,12002887,1,120028871105,5,151,150,1
30,12002887,2,120028871205,2,151,150,1
31,12002887,3,120028871305,0,150,149,1
32,12002887,4,120028871405,3,150,150,0
33,12002887,5,120028871505,3,151,151,0
34,12002887,6,120028871605,2,151,151,0
35,12002891,1,120028911105,0,152,150,2
36,12002891,2,120028911205,2,150,150,0
37,12002891,3,120028911305,2,151,150,1
38,12002891,4,120028911405,0,151,151,0
39,12002891,5,120028911505,3,152,149,3
40,12002891,6,120028911605,3,151,150,1
41,12002896,1,120028961105,2,151,151,0
42,12002896,2,120028961205,2,152,151,1
43,12002896,3,120028961305,1,151,150,1
44,12002896,4,120028961405,7,150,150,0
45,12002896,5,120028961505,6,152,151,1
46,12002896,6,120028961605,6,151,151,0
47,12002900,1,120029001105,2,152,151,1
48,12002900,2,120029001205,3,151,151,0
49,12002900,3,120029001305,2,151,151,0
50,12002900,4,120029001405,3,151,150,1
51,12002900,5,120029001505,4,152,151,1
52,12002900,6,120029001605,7,151,151,0
53,12002901,1,120029011105,4,151,150,1
54,12002901,2,120029011205,3,151,150,1
55,12002901,3,120029011305,1,152,151,1
56,12002901,4,120029011405,3,152,152,0
57,12002901,5,120029011505,1,151,150,1
58,12002901,6,120029011605,4,152,151,1
59,12002903,1,120029031105,7,152,151,1
60,12002903,2,120029031205,2,151,151,0
61,12002903,3,120029031305,6,151,151,0
62,12002903,4,120029031405,3,151,150,1
63,12002903,5,120029031505,3,150,150,0
64,12002903,6,120029031605,2,151,150,1
65,12002905,1,120029051105,2,151,151,0
66,12002905,2,120029051205,2,152,151,1
67,12002905,3,120029051305,2,151,151,0
68,12002905,4,120029051405,2,151,150,1
69,12002905,5,120029051505,1,151,150,1
70,12002905,6,120029051605,4,151,151,0
71,12002906,1,120029061105,2,181,179,2
72,12002906,2,120029061205,4,181,180,1
73,12002906,3,120029061305,6,181,180,1
74,12002906,4,120029061405,4,181,179,2
75,12002906,5,120029061505,1,181,179,2
76,12002906,6,120029061605,8,180,180,0
77,12002910,1,120029101105,4,182,181,1
78,12002910,2,120029101205,6,181,181,0
79,12002910,3,120029101305,4,181,181,0
80,12002910,4,120029101405,2,181,179,2
81,12002910,5,120029101505,6,182,180,2
82,12002910,6,120029101605,4,181,180,1
83,12002916,1,120029161105,4,181,180,1
84,12002916,3,120029161305,2,182,180,2
85,12002916,4,120029161405,0,182,182,0
86,12002916,6,120029161605,4,180,179,1
87,12002917,1,120029171105,3,180,179,1
88,12002917,2,120029171205,3,181,181,0
89,12002917,3,120029171305,4,180,179,1
90,12002917,4,120029171405,5,182,180,2
91,12002917,5,120029171505,3,181,181,0
92,12002917,6,120029171605,3,180,180,0
93,12002921,1,120029211105,4,181,180,1
94,12002921,2,120029211205,3,181,180,1
95,12002921,3,120029211305,4,180,179,1
96,12002921,4,120029211405,4,181,179,2
97,12002921,5,120029211505,4,181,180,1
98,12002921,6,120029211605,2,181,180,1
99,12002926,1,120029261105,1,181,180,1
100,12002926,2,120029261205,1,181,180,1
101,12002926,3,120029261305,5,182,181,1
102,12002926,4,120029261405,0,180,180,0
103,12002926,5,120029261505,1,181,180,1
104,12002926,6,120029261605,3,182,181,1
105,12002931,1,120029311105,2,181,180,1
106,12002931,2,120029311205,3,181,180,1
107,12002931,3,120029311305,1,181,180,1
108,12002931,4,120029311405,2,181,180,1
109,12002931,5,120029311505,2,181,180,1
110,12002931,6,120029311605,1,181,180,1
111,12002936,1,120029361105,3,181,180,1
112,12002936,2,120029361205,2,181,180,1
113,12002936,3,120029361305,0,181,180,1
114,12002936,4,120029361405,1,181,180,1
115,12002936,5,120029361505,10,182,180,2
116,12002936,6,120029361605,0,181,180,1
117,12002941,1,120029411105,0,182,181,1
118,12002941,2,120029411205,8,182,180,2
119,12002941,3,120029411305,2,181,180,1
120,12002941,4,120029411405,0,181,180,1
121,12002941,5,120029411505,10,182,180,2
122,12002941,6,120029411605,1,181,180,1
123,12002946,1,120029461105,7,181,181,0
124,12002946,2,120029461205,10,181,180,1
125,12002946,3,120029461305,4,181,180,1
126,12002946,5,120029461505,9,181,181,0
127,12002946,6,120029461605,1,181,179,2
